,Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
59040,63 Berry Avenue ,EDITHVALE VIC 3196,EDITHVALE,VIC,3196,House,30-Jan-21,auction,1800000,2,1,1,918,OBrien Real Estate Chelsea,-38.0420812,145.1176356,28.74133391
59048,8 Redwood Court ,NARRE WARREN VIC 3805,NARRE WARREN,VIC,3805,House,8-Jun-22,private treaty,718000,3,1,2,918,Keith Sloan,-38.0321673,145.307064,38.70673665
59062,8 Swan Parade ,ST LEONARDS VIC 3223,ST LEONARDS,VIC,3223,House,21-Jan-21,private treaty,1470000,4,3,2,919,Bellarine Property Pty Ltd,-38.1934345,144.7065217,47.80288681
59070,172 Charman Road ,MENTONE VIC 3194,MENTONE,VIC,3194,House,30-Nov-17,auction,1900000,5,2,3,920,OBrien Real Estate Chelsea,-37.9737607,145.05445,19.4712132
59082,55 Armadale Street ,ARMADALE VIC 3143,ARMADALE,VIC,3143,House,30-May-15,auction,3850000,4,2,1,920, Jellis Craig Stonnington,-37.8585929,145.0185924,6.93353355
59085,199 Gladesville Boulevard ,PATTERSON LAKES VIC 3197,PATTERSON LAKES,VIC,3197,House,2-Mar-20,private treaty,2200000,4,2,4,920,Hodges Mentone/Chelsea,-38.066994,145.1445786,32.30766777
59087,6 Camille Court ,AVONDALE HEIGHTS VIC 3034,AVONDALE HEIGHTS,VIC,3034,House,5-Apr-22,private treaty,1605000,5,3,2,921,Nelson Alexander Keilor East,-37.7569906,144.8649509,10.72615347
59091,7 Caltowie Court ,RESEARCH VIC 3095,RESEARCH,VIC,3095,House,10-Apr-21,auction,1255000,4,2,2,921,Morrison Kleeman Estate Agents,-37.6991504,145.1787141,22.87214178
59092,77-79 Swanston Street ,GEELONG VIC 3220,GEELONG,VIC,3220,House,15-Oct-21,auction,2596000,3,2,0,921,Gartland,-38.1474951,144.3691584,63.9242532
59096,5 Hungerford Drive ,BROOKFIELD VIC 3338,BROOKFIELD,VIC,3338,House,13-May-22,private treaty,718000,3,2,2,922,Barry Plant Melton,-37.6971558,144.5584159,37.90067591
59097,72 Parkedge Circuit ,ROSEBUD VIC 3939,ROSEBUD,VIC,3939,House,11-Jun-22,auction,1160000,5,2,4,922,UNKNOWN,-38.3862203,144.9191897,63.74006928
59100,11 Eddison Close ,ALTONA MEADOWS VIC 3028,ALTONA MEADOWS,VIC,3028,House,18-Mar-22,auction,1350000,5,3,4,922,Hodges Yarraville,-37.8860545,144.7872579,17.39339853
59102,382 Barkly Street ,ELWOOD VIC 3184,ELWOOD,VIC,3184,House,29-Sep-20,private treaty,3700000,3,2,3,923,RT Edgar Elwood,-37.8817552,144.9783137,7.629180511
59106,3 Flora Court ,CRANBOURNE NORTH VIC 3977,CRANBOURNE NORTH,VIC,3977,House,20-Apr-22,private treaty,840000,4,2,2,923,OBrien Real Estate Cranbourne,-38.0712466,145.2762179,39.64149262
59121,52 Burgundy Dr ,WAURN PONDS VIC 3216,WAURN PONDS,VIC,3216,House,5-Mar-22,auction,950000,5,3,2,924,Hayeswinckle Newtown,-38.2062442,144.3061067,72.22982181
59129,13 Cambridge Street ,SEAHOLME VIC 3018,SEAHOLME,VIC,3018,House,25-Feb-22,private treaty,1650000,3,1,3,925,Barlow McEwan Tribe Altona,-37.8639649,144.8456706,11.71038969
59135,23 Allison Crescent ,MARYSVILLE VIC 3779,MARYSVILLE,VIC,3779,House,28-Feb-22,private treaty,555400,2,1,1,926,UNKNOWN,-37.5181818,145.7515817,76.83197433
59136,64 Barries Road ,MELTON VIC 3337,MELTON,VIC,3337,House,8-Aug-15,auction,285000,3,1,6,926,Ryder Real Estate,-37.6882952,144.5750958,36.89129105
59141,2 Byron Avenue ,LOWER PLENTY VIC 3093,LOWER PLENTY,VIC,3093,House,10-Jul-21,auction,1490000,3,2,2,926,Miles Real Estate Ivanhoe,-37.7272394,145.1184484,16.73361429
59148,24 Natasha Close ,ST HELENA VIC 3088,ST HELENA,VIC,3088,House,4-Nov-21,auction,1270000,4,2,2,927,Darren Jones Real Estate,-37.6876488,145.1254026,20.04475339
59154,242 Station Street ,FAIRFIELD VIC 3078,FAIRFIELD,VIC,3078,House,23-Jul-21,auction,2455000,6,2,8,928,Jellis Craig - Brunswick,-37.7791862,145.018095,6.20448561
59181,255 Como Parade East ,PARKDALE VIC 3195,PARKDALE,VIC,3195,House,23-Dec-20,private treaty,1400000,3,2,2,929,Buxton Real Estate Sandringham,-37.9954763,145.0793929,22.59515103
59187,479 Break Oday Road ,GLENBURN VIC 3717,GLENBURN,VIC,3717,House,19-Jan-22,private treaty,1300000,4,3,2,93077,UNKNOWN,-37.4182295,145.4306777,60.30540703
59188,180 Haleys Gully Road ,HURSTBRIDGE VIC 3099,HURSTBRIDGE,VIC,3099,House,19-May-21,private treaty,3000000,4,3,9,93887,Morrison Kleeman Estate Agents,-37.6335369,145.1904087,28.34812571
59194,15 Glen Road ,FLINDERS VIC 3929,FLINDERS,VIC,3929,House,16-Jun-19,auction,1461000,3,1,0,930,RT Edgar Flinders,-38.4761548,145.0087306,73.73499378
59201,35 Herbert Street ,PARKDALE VIC 3195,PARKDALE,VIC,3195,House,19-Mar-16,auction,1815000,5,2,2,930,UNKNOWN,-37.9948798,145.0778242,22.47400349
59207,7 Cloud Street ,ARTHURS SEAT VIC 3936,ARTHURS SEAT,VIC,3936,House,30-Jan-22,auction,1250000,3,1,2,931,RT Edgar Flinders,-38.3554495,144.9627585,60.20114428
59217,4 Watersedge Cove ,SANCTUARY LAKES VIC 3030,SANCTUARY LAKES,VIC,3030,House,20-May-22,private treaty,3130000,4,4,4,931,.established Property,-37.8995441,144.7682523,19.57218237
59218,20 Fourth Loop ,CONNEWARRE VIC 3227,CONNEWARRE,VIC,3227,House,28-Apr-21,private treaty,2095000,4,2,2,932,Bellarine Property Pty Ltd,-38.2748686,144.4599058,67.59201128
59234,57 College Street ,ELSTERNWICK VIC 3185,ELSTERNWICK,VIC,3185,House,3-May-18,auction,3300000,4,2,2,933,Biggin & Scott Elsternwick,-37.8944656,145.008334,9.767927186
59236,21 Victoria Avenue ,ROSANNA VIC 3084,ROSANNA,VIC,3084,House,11-Nov-21,auction,1805000,4,2,2,933,Miles Real Estate Ivanhoe,-37.7326223,145.0640879,12.69293625
59238,30 Screen Street ,FRANKSTON VIC 3199,FRANKSTON,VIC,3199,House,23-Apr-22,auction,893001,3,2,1,933,UNKNOWN,-38.1554882,145.1414508,41.05153828
59239,292 St Helena Road ,ST HELENA VIC 3088,ST HELENA,VIC,3088,House,15-Feb-22,private treaty,1000000,3,2,2,933,Darren Jones Real Estate,-37.6973534,145.1245974,19.24894377
59244,18 King Street ,IVANHOE EAST VIC 3079,IVANHOE EAST,VIC,3079,House,18-May-18,private treaty,2350000,4,2,2,934,Nelson Alexander Ivanhoe,-37.7705031,145.0596725,9.777871196
59247,20 Zenith Street ,PASCOE VALE VIC 3044,PASCOE VALE,VIC,3044,House,29-May-21,auction,1120000,4,2,4,935,UNKNOWN,-37.7245854,144.9350957,10.27061826
59248,1 Sunshine Street ,OAKLEIGH EAST VIC 3166,OAKLEIGH EAST,VIC,3166,House,3-Jul-21,auction,1705000,5,2,4,935,Woodards Oakleigh,-37.9069601,145.1170857,17.0037681
59255,166 Kooyong Road ,CAULFIELD NORTH VIC 3161,CAULFIELD NORTH,VIC,3161,House,18-Feb-21,private treaty,3060000,3,2,3,936,Kay & Burton South Yarra,-37.8715854,145.0178109,7.985021541
59256,19 Chelsea Avenue ,MULGRAVE VIC 3170,MULGRAVE,VIC,3170,House,12-Jun-22,auction,855000,3,2,1,936,Win Real Estate,-37.9370398,145.1963394,24.61241148
59257,5 Tahara Road ,TOORAK VIC 3142,TOORAK,VIC,3142,House,28-Mar-17,private treaty,6100000,5,3,3,937,Abercromby's Real Estate,-37.8384878,145.0176022,5.49231778
59265,22 Bellis Circuit ,BOTANIC RIDGE VIC 3977,BOTANIC RIDGE,VIC,3977,House,15-Sep-21,private treaty,1200000,4,2,2,938,Stockdale & Leggo - Central,-38.1427386,145.2512848,44.42308525
59279,2/18 Rosella Street ,MURRUMBEENA VIC 3163,MURRUMBEENA,VIC,3163,Apartment ,17-Dec-21,private treaty,750000,2,1,1,93,"OBrien Real Estate Tecoma, Belgrave, Olinda",-37.894727,145.0738672,13.21829056
